"11대코드","코드명","출하(2020-01)","출하(2020-02)","출하(2020-03)","출하(2020-04)","출하(2020-05)","출하(2020-06)","출하(2020-07)","출하(2020-08)","출하(2020-09)","출하(2020-10)","출하(2020-11)","출하(2020-12)","출하(2020-01)_전년동월대비증가율","출하(2020-02)_전년동월대비증가율","출하(2020-03)_전년동월대비증가율","출하(2020-04)_전년동월대비증가율","출하(2020-05)_전년동월대비증가율","출하(2020-06)_전년동월대비증가율","출하(2020-07)_전년동월대비증가율","출하(2020-08)_전년동월대비증가율","출하(2020-09)_전년동월대비증가율","출하(2020-10)_전년동월대비증가율","출하(2020-11)_전년동월대비증가율","출하(2020-12)_전년동월대비증가율"
"00000","소재·부품","101","101","122.6","103.3","101.9","112","110.5","106.9","125.9","117.7","121.7","127.1","-1.4","8.6","8.8","-0.9","-7.1","-0.4","-0.2","-1.4","13.1","4.7","10.2","10.2"
"11000","섬유제품","68.8","73.6","77","62.2","57.8","63.9","66.9","64.4","72.8","74.5","72.4","69.5","-13.8","8.6","-11.2","-24.8","-29.9","-15.6","-17.2","-12.4","-2.1","-9.3","-5.9","-7.6"
"11010","제사 및 방적","59.1","58.1","61.5","52.5","52.5","57.7","58.9","59.6","68.8","64.7","60.3","58.8","-9.4","3.1","-11.3","-25.5","-22.6","-11.8","-11.9","-12","5.7","-5.8","-8.5","-9.3"
"11020","직물직조","60.2","68","65.1","49.4","45.4","50.5","53.1","53.7","60.4","60.8","62.3","60.6","-20.8","8.3","-26.2","-38.4","-44.4","-31.5","-34.1","-24.3","-17.7","-20.7","-14.7","-14.9"
"11030","섬유염색 및 가공","74.5","76.2","77.9","56.2","52.4","59.9","65.1","61.6","70.5","73.2","74.7","73.7","-10.2","10.8","-10.4","-37.5","-40","-24.7","-23.7","-11.9","-7.2","-15.8","-8.7","-9.2"
"11090","기타 섬유제품","83.3","90.5","103.2","89.3","80.6","87.9","90.4","82.3","92","100.2","93.2","86.8","-10.4","11.8","7","-0.7","-11","6.8","2.7","1.8","14.8","4.1","7","2.5"
"12000","화학물질 및 화학제품","100.5","102.3","116.1","111.4","109.3","110.9","114","104.6","112.3","113","109.3","106.2","-7.7","4.5","4.9","4.8","6.1","13.5","8.5","2.9","13.5","9.1","8.3","4.7"
"12010","석유화학계 기초화학물질","119.2","134.5","125.7","174.1","224.1","170.7","189.6","204.9","218.1","126.7","57.5","110.2","80.4","164.3","29.8","76.8","298.8","116.9","17.6","7.7","29.1","19","-61","-30.7"
"12020","기타 기초유기화학물질","106.4","107.1","117","112.5","113.9","120.4","114.1","106","105.9","114.6","109.3","106.9","-14","-3.5","-5.9","-2.9","7.7","18.4","1","-6.7","4.5","11.5","14","7.9"
"12030","기타 기초무기화학물질","88.1","87.1","92.1","75.7","73.5","72.9","84.6","79.1","86.6","84.3","82.2","87.8","-1.8","8.1","-5.1","-11.6","-16","-12.1","-8.2","-7.5","3.6","-4","-2","-3.3"
"12040","무기안료 염료 유연제 및 기타 착색제","96.3","103.9","105.8","74.6","67.9","79.7","95.4","92.6","100.5","102.7","99.6","101.5","-4.3","19.8","2.7","-29.9","-35.7","-6.6","15.9","7.5","9.1","3.5","12.2","6.2"
"12050","합성고무 및 플라스틱 물질","107.1","106.4","117.7","111.8","116","122.1","125.4","114.8","121.3","122.1","116.6","111.4","-3.5","5.8","8.4","7.4","14.3","25.8","16.1","9.4","17.2","11","8.9","3.4"
"12060","농약","105.7","158","175.2","168.5","122.2","83.6","80.9","58.8","51.4","50.3","44.8","53.4","-32","-19","-13.3","9.4","13.5","3.3","39.5","11.5","5.4","35.5","11.2","-11.6"
"12070","도료 및 인쇄잉크","74.1","76.1","98.7","91.3","85.9","84.9","82.4","70.3","82.1","95.7","94.5","82.2","-5.4","5","3.2","-9.5","-15.5","-9.7","-5.6","-11.3","3.3","-2.4","0.5","-0.1"
"12080","계면활성제","117.2","118","137.9","136.4","126.7","131.2","132.8","115.7","131.7","132.2","133.1","130.9","4.5","16.8","25.2","28.2","5.8","11.9","19.3","8.7","13.5","4.7","7.4","11.2"
"12090","기타 화학제품","94.5","93.5","107.5","96.9","83","87.1","95.2","87.6","103.1","99.9","106.2","104.5","-15.7","-0.5","-3.9","-13.7","-27.4","-17.2","-11.7","-12.4","5.1","-2.6","6.6","5.5"
"12100","화학섬유","98.8","94.2","101.4","73","60.6","69","82","81.5","90.7","103.9","108.2","99.6","3.8","1.2","2.3","-23.6","-41.2","-29.8","-21.3","-20","-8.2","2.3","11.1","-0.5"
"12110","기초의약물질 및 생물학적 제제","122.3","130.1","139.2","130.4","136.3","128.4","142.9","134.1","150.4","140.7","135.2","142.9","-5.2","20.6","13.2","11.8","12.9","4.7","15.7","15.7","10.7","3.7","-1.5","0.4"
"13000","고무 및 플라스틱제품","83.2","79.1","94.2","74.8","70.7","79.4","88.2","78.6","93.5","95.6","91.4","85.5","-12.9","-3.1","-3.4","-21.3","-25.2","-13.8","-5.4","-5.8","12.8","0.8","2.5","-0.5"
"13010","고무제품","85","76.2","88.9","53.8","61.6","65.7","72.1","72.5","80.1","86","82.5","69.2","-23.1","-21.4","-19.9","-46.5","-44.1","-38.9","-26.3","-10.8","-0.8","-6.2","-5.5","-13.9"
"13020","플라스틱제품","83.3","80.8","96.9","82.9","74.4","84.9","94.6","81.4","99.1","99.8","95.3","92.2","-8.8","4.6","3","-12.1","-17.4","-3.4","2.1","-4.5","17","2.8","5","3.7"
"14000","비금속 광물제품","91.4","88.8","104.8","71.6","90.7","95.6","102.1","87.6","104.2","102.3","104.6","99.3","-14.5","1.1","1.2","-28.7","-9.7","-0.6","-1.9","-12.1","11.5","-3.6","3.1","-3.7"
"14010","판유리","96.2","75.5","81.2","88.6","77.4","93.1","98.9","83.8","95.5","111.1","96.9","134.1","-15.5","-15.3","-18.2","1.9","-15.9","0.6","10.8","-1.3","23","0.4","0.1","54.1"
"14020","산업용 유리제품","99.2","96","113.7","67.4","96.3","100.3","111.6","94.8","111.1","106.8","110.2","101.2","-15.7","-0.5","2.3","-36","-7.4","1.5","-0.5","-12","8.7","-4.5","4.5","-7.7"
"14030","산업용 도자기","80.7","83","86.3","64.1","74.8","72.6","76.5","69.2","79.6","77.6","81.2","76.6","2.9","17.8","8.3","-23.2","-22.6","-18.7","-15.1","-15.1","-0.1","-12.6","-4.5","-11.2"
"14040","구조용 정형내화제품","107","102.2","89.8","93","80.5","87.8","88.7","66.6","94.2","79.7","91.4","98.9","20","19.1","5.6","-3","-13.7","-4.3","-6.1","-18.2","30.3","-3","-3.8","-0.1"
"14050","석회","96.1","86.1","87","78.4","79.6","75.5","84.9","91.5","97.6","91.8","92.3","98.9","-3.9","-0.3","-9.9","-12.5","-16.7","-18.6","-9.7","-5.4","6.6","-0.6","-1","6.9"
"14090","기타 비금속광물제품","67.6","73","94.5","90.6","88.5","95.6","84.6","76.7","97","102","103","99.1","-18.5","7.5","-0.3","-10.9","-14.6","-5.1","-9.8","-15.5","20.1","0","-0.5","0.9"
"15000","1차 금속제품","90.2","88.2","95.1","88.9","84.8","87.8","90.9","86.9","91.7","92.3","94.2","94","-2.5","6.6","5","-3.6","-8","-5.1","0.5","-4.8","11.7","5.7","4.7","4.4"
"15010","합금철","93.3","100.2","109.9","93.2","94","79.5","74.4","77.1","79.7","77.7","84.6","76.6","16.1","31.1","20","5.5","6.7","-8","-17.7","-11.2","-2.8","-5.6","-0.6","-6.3"
"15020","철강압연.압출 및 연신제품","91.1","86.1","90.7","82.3","83.5","83.8","85.9","89.5","93","94.7","97.7","92.2","3","9.8","8.3","-14.3","-10.8","-11.6","-4.2","-7.9","11.9","12.6","11.1","9.2"
"15030","철강관","100.4","97.6","107.9","104.7","94.7","95.7","97.6","80.4","90.3","99.6","102.3","103.2","-0.1","7.2","2.5","9.7","-1.6","-1","1.8","-3.3","11.1","1.4","-3.3","-8.8"
"15040","비철금속 제련 정련 및 합금","83","87.1","97.4","97.7","85.1","97","100.3","90","91.8","84.2","86.2","92.4","-11.6","-0.4","1.4","24.3","0.2","14.2","17.4","4.8","19.4","-2.7","5.3","6"
"15050","비철금속압연 압출 및 연신제품","88.9","86.8","95.9","94.6","89.4","89.6","92","79.1","84.5","85.8","85.9","92.7","-6.1","6.7","6","8.7","5","3.7","4.8","-5.1","3.4","-3.3","-7","-1.5"
