"11대코드","코드명","재고(2020-01)","재고(2020-02)","재고(2020-03)","재고(2020-04)","재고(2020-05)","재고(2020-06)","재고(2020-07)","재고(2020-08)","재고(2020-09)","재고(2020-10)","재고(2020-11)","재고(2020-12)","재고(2020-01)_전년동월대비증가율","재고(2020-02)_전년동월대비증가율","재고(2020-03)_전년동월대비증가율","재고(2020-04)_전년동월대비증가율","재고(2020-05)_전년동월대비증가율","재고(2020-06)_전년동월대비증가율","재고(2020-07)_전년동월대비증가율","재고(2020-08)_전년동월대비증가율","재고(2020-09)_전년동월대비증가율","재고(2020-10)_전년동월대비증가율","재고(2020-11)_전년동월대비증가율","재고(2020-12)_전년동월대비증가율"
"00000","소재·부품","115.8","118.6","118.8","122.3","122.1","118.2","117.9","117.7","114.4","112.9","113.4","111.1","4.3","7.5","7.8","9.1","9.2","6.6","3.6","5.3","2.4","0.2","-0.4","-0.1"
"11000","섬유제품","95.7","98.7","101.8","104.2","103.3","100.8","98.7","97.5","96","92","90.6","90.5","-5.1","-1.2","2.8","7.7","6.3","1.4","-2","-2.1","-1.2","-3.5","-3.9","-3"
"11010","제사 및 방적","94.6","95.2","103.8","108.1","106.7","106.2","106.1","102.3","96","79.1","77.4","70.2","-8.7","-7","2.7","8.1","5.5","3.2","2.8","5.7","6.4","-11.8","-13.6","-22.1"
"11020","직물직조","77.4","75.9","77.3","80.5","82.4","78.5","78.9","76.7","77.4","77","78.2","79.6","-5.9","-6.7","-3.7","1.1","4.4","-2.5","-3.5","-5.5","-3.8","-2.4","0.5","3.9"
"11030","섬유염색 및 가공","106.1","111.1","114.1","116.3","114.7","111.4","110.3","110.9","111.7","109.2","106.3","108.7","-1.7","5","7.9","14.5","11.9","5.8","2.9","4.6","6.3","5.6","3","6.3"
"11090","기타 섬유제품","132.7","148.4","150","147.9","142","140.7","129.8","134","131.9","134.6","128.1","131.6","0.5","12.3","13.7","17.4","10.8","7","-3.8","-3.8","-4","-0.4","-4.1","0.5"
"12000","화학물질 및 화학제품","120.8","121.9","125.7","140.4","139.2","126.1","121.1","122.8","120.3","115.9","108.7","110.8","5.8","5.9","10.3","27.9","32","17.3","8.3","10.6","5.9","3.5","-3.3","-4.3"
"12010","석유화학계 기초화학물질","103.3","112.9","119.9","159","158.4","123.1","126.4","132.1","118.9","97","99.4","89.3","12.1","13.7","18.6","61.6","74.8","38.5","30.6","49","35.2","17.1","-1.1","15.1"
"12020","기타 기초유기화학물질","104.2","112.4","134.5","175.8","179.2","140.6","131.7","133.5","135.8","117.6","86.8","96.8","-12","-12","6.8","43.3","80.8","26.3","12.3","13.4","8.7","-1.5","-17.7","-9.5"
"12030","기타 기초무기화학물질","124.2","121.4","117.2","128.5","127.1","117.8","107.4","108.1","101.9","98.5","91.2","95.9","6.9","0.2","4.6","19.2","29.9","15","-1.3","-6.2","-13.9","-15.8","-11.9","-15.9"
"12040","무기안료, 염료, 유연제 및 기타 착색제","85.2","84.5","84.3","89.7","94.5","92.9","85.3","83.6","76.2","74","71.7","69.4","-0.7","-3.1","-0.1","8.8","19.8","20.8","5.2","-6","-16.3","-14.1","-17.4","-17.3"
"12050","합성고무 및 플라스틱 물질","154.7","153.9","149.9","159.1","154","144.5","138.1","147.3","143.8","137.7","123.8","124.7","20.6","18.7","14","33.7","29.6","19.2","7.2","11","3","3.8","-8.9","-14"
"12060","농약","100.4","86","74.2","67.8","62.8","59","53.1","48.4","56.2","66.5","76.2","92.7","9.1","-0.3","-3.8","-7","-16.6","-19.5","-22.4","-23.4","-15","-14.4","-13.7","-7.8"
"12070","도료 및 인쇄잉크","100.1","102.7","101.7","101.6","95.5","95","100","97.8","96.8","94.9","100","104.4","7.4","10.3","10.5","10.4","4.1","8","5.8","6.8","6.1","3","6.5","16.3"
"12080","계면활성제","141.5","142.6","139.5","147","142.3","137.8","134.8","133.7","128.1","122.1","122.1","134.6","7.4","1.9","3.4","10.2","6","6.6","-8.7","-4.9","0.8","-0.5","-1.7","-3.1"
"12090","기타 화학제품","112.6","115.7","114.6","112.1","110.3","106.4","110.5","108.4","107.1","109.5","115.2","115.8","1.6","7.1","4.8","-2.2","-3","-7.1","-3.8","0.6","3.2","4.8","7.2","6.7"
"12100","화학섬유","116.4","115.6","119.8","136.6","140.2","123.8","116.6","120.8","119","116.3","111.3","106.5","-10","-11.1","-9.6","11.7","19.5","9.1","0.5","3.6","1.4","0.9","1.8","-2.9"
"12110","기초의약물질 및 생물학적 제제","117.2","119.1","117.5","117.8","118.4","115.3","118.7","120.7","114.3","114.6","113.9","112.2","3.8","5.2","6.5","3.4","3","3.1","0.9","5.2","1.3","0.7","-0.3","2.1"
"13000","고무 및 플라스틱제품","114.6","116.7","117.3","116.5","120","119.2","116.7","120.3","117.3","111.8","116.4","116.1","0.7","4.3","2.5","1.4","6","3.8","1.4","7.8","6.1","2.7","6.9","4.6"
"13010","고무제품","114.8","125.5","116","121.5","122.6","125.4","116.2","127.6","130.2","121.9","140.6","147.5","-1.9","14","3.6","4.1","9.3","11.5","8.3","20.4","21.3","14.8","27.4","30.1"
"13020","플라스틱제품","115.4","114.7","118.5","115.6","119.9","117.9","117.7","118.7","113.8","109.2","109.4","107","1.3","1","1.9","0.1","4.5","1","-0.9","3.6","1","-1.4","-0.1","-3.9"
"14000","비금속 광물제품","156.9","153.8","152.4","151.5","147.6","148.4","135.4","139.2","142.4","136.4","135.8","127.5","11.1","6.9","2.1","1.1","-1","-2.7","-17.3","-15.1","-20.4","-18.5","-16","-20.8"
"14010","판유리","123","127.3","136.3","138.8","130.9","131.6","140.3","144.5","149.2","148.5","142.5","114.8","6.2","15.7","25.7","31","22.3","26.4","26.3","26.5","15.4","20.3","12","-12.4"
"14020","산업용 유리제품","197.1","189.2","174.4","174","170.1","169.7","127.4","135.4","145.1","132.8","135.4","140.9","17","1.4","-11.4","-12.4","-13.9","-19.2","-47.7","-43.5","-46.2","-44.3","-38.1","-28.1"
"14030","산업용 도자기","145.8","139.6","142.5","137.9","136.1","136.6","129.8","128.7","123.6","119.4","121.1","114.6","7.1","5.8","2.5","-2.9","-2.7","-1.6","-4.1","-7","-10.9","-15.4","-15","-26.8"
"14040","구조용 정형내화제품","198.2","183.4","186.5","178.2","179.9","181.2","164.2","166.6","162.1","157.9","158.9","158.7","15.6","12.5","7.4","3.8","8.4","7.4","6.7","3.9","-2","-6.5","-3.9","-23.3"
"14050","석회","81.5","101.6","109.6","95.7","95.7","95.1","105.1","100.8","104.1","114.1","105","95.1","-20.1","16.6","15.4","1.4","9","12.5","11.5","46.8","24.8","45.6","31.7","-7.8"
"14090","기타 비금속광물제품","147","146.4","145","144.4","142.8","143.5","140.9","142.8","140.5","133.5","132.3","127.6","8.4","6.2","1.6","0.4","-0.9","-1.7","-6.6","-4.7","-10.6","-10.5","-7.8","-11"
"15000","1차 금속제품","96.3","97.8","98.8","101.3","102.6","97.9","94.3","92.6","91.5","91.3","89.4","85.9","-2.5","5.3","5.8","6.7","8.9","4","0.6","1.4","-1.4","-3.9","-5.9","-7.5"
"15010","합금철","51.6","45","42.2","49.9","52.3","52.6","52.3","51","51.5","55.4","53","52.1","17.1","11.4","0.2","13.5","10.2","11.4","12.9","11.8","3.3","5","9.9","1.5"
"15020","철강압연.압출 및 연신제품","85.5","86.2","85.3","90.7","93.7","88.1","85.3","83.8","84","83.6","81.7","78.9","-4.9","3.9","-0.8","4.4","8.5","-2.2","-7.6","-2.5","-3.4","-6.9","-6.2","-6.4"
"15030","철강관","101.4","105.7","108.4","105.4","105.5","100.6","99.7","100.1","98.6","93.2","95.1","84.1","-5.5","5.2","10","3.6","2.3","-0.7","1.3","1.7","-5.2","-9.9","-7.7","-16.5"
"15040","비철금속 제련, 정련 및 합금","108","105.1","117.9","119.1","127.5","118.8","97.9","94.7","86.6","95.6","89.1","90.1","1.5","3.1","13.2","21.3","46.6","46.4","5.4","5.8","-5","-3.8","-14","-6.7"
"15050","비철금속압연, 압출 및 연신제품","110","113.5","112.1","118.4","113.5","111.6","108.3","103.3","108","113.7","110.8","112.1","-5.8","3.7","-0.6","3.6","-1.6","-4","1.3","-4.3","4.8","7","3.2","5.2"
"15060","기타 1차 비철금속","83.9","80.3","82.5","80.2","81.1","79.3","68.8","68.4","69","76.9","69.9","71.4","-13.2","-15.1","-13.1","-14.8","-10.1","-4","-18.4","-8","-6.6","-4","-17.1","-8.4"
"15070","비철금속 주조업","129.6","133.6","134.2","131.4","136.8","131.3","130.1","128.8","125.3","125.6","124.9","125.1","12.2","16.5","14.4","11.2","11.5","6.4","2.8","-0.8","-6","-5.9","-4.3","-1.1"
"15090","도금, 착색 및 기타 표면처리강재","140.1","139.4","133","150.5","156.1","143.7","145.2","148.2","131.4","115.6","105.7","108.2","17.5","19.3","22.3","34.4","37.5","25.9","26.8","27.8","9.3","0.1","-13.9","-14.8"
"21000","금속가공제품","114.3","116.7","120.1","120.9","119.7","119.3","120.3","118.9","115.6","114","115.5","116","3.6","7.9","8.4","9.2","7.6","7.1","6.1","3.8","0.7","-2.6","-0.2","2.1"
"21010","금속탱크, 저장조 및 유사용기","102.9","105.9","109.3","105.4","104.6","103.1","108.7","108","102","101.4","103.1","101.7","6.4","11.8","12.7","9.4","8.5","6.1","11.6","10.5","1.7","-2.5","0.7","0.3"
"21020","핵반응기 및 증기발생기부품","100.8","96","103.1","94.2","96","87.8","102.4","102.5","87.7","87","86.3","82.4","21.5","19.9","24.2","16","19.3","3.3","27.8","29","-3","-7.4","-6.8","-18.4"
"21030","무기 및 총포탄 부품","116.4","121.2","124.1","121","119.5","119","123.3","122.4","117.2","117.1","119.3","119.2","5.7","12.1","12.3","9.8","8.3","7.6","10.3","9","3","-1.6","1.9","4.2"
"21040","금속 단조, 압형 및 분말야금 제품","99.2","106.5","111.1","111","108.4","110.8","109.6","106.9","105.6","105.7","108.5","110.1","-3.9","7.2","10","10.5","9.4","14.2","12","7.1","7.2","3.2","8.4","13.8"
"21050","금속열처리업, 도금 및 기타 처리업","119.7","127.5","129.2","128.3","125.6","128","128.3","127","125.7","125.8","129.1","130.5","1.5","10","9.2","8.2","5.7","8.8","6.1","4.3","4.5","-0.1","4.1","10.8"
"21060","톱 및 호환성공구","120.1","116.1","120.5","125.7","125.3","124.4","125.8","122.2","117.3","111.7","109.9","108","18.6","12.8","13","17.5","14.6","11.1","6.8","-0.3","-4.3","-8","-7.5","-9.1"
"21070","금속파스너 및 스프링","121.8","120.5","119.5","121.3","120.5","118.3","117.5","119.7","118.2","117.9","120.7","124.5","-0.6","-0.1","-2.7","-1.1","-1.9","-3.6","-4.6","-2.4","-4.6","-5.8","-4.5","-0.4"
"21090","기타 금속제 부품","120.3","132.4","134.9","136.3","136.3","134.5","133.3","130.6","129","127.2","127.8","128.2","-10.1","6.5","5.9","5.6","2.6","0.7","1.1","4.9","4.2","1","3.3","5.8"
"22000","일반기계부품","122.3","129.1","131.8","128.6","126.5","125.8","130.6","130.7","128.1","131.1","137.7","131.4","10.5","20.3","19.6","6.7","3.7","8.6","8.3","9","3.5","4.7","6.2","10.8"
"22010","내연기관 및 터빈","134.1","138.3","140.4","135.5","132.4","130.1","135.9","137.5","135.1","137.3","141","136.2","16","19.3","16.5","3.1","0.3","3","5.2","7.4","5.1","4.2","3.8","6.1"
"22020","유압기기","127.4","152.5","159.8","164.9","167.2","159.7","165.9","170.6","155.4","159","162.8","147.8","23.8","43.1","37.9","24.4","22.8","32.8","34.4","38.1","24.4","30.3","25.8","21"
"22030","펌프 및 압축기 제조업","144","163.4","165.7","152.3","151","148.6","154.6","157.2","143.5","148.1","150.4","136.4","24.3","40.1","33.8","11.4","9.5","18.1","17.2","17.7","8.8","14.6","9.1","2.1"
